sample,sample_name,fastq_1,fastq_2,reference_assembly,metadata_1,metadata_2,metadata_3
49A,K7,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/49A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/49A.R2.fq.gz,,K7,C. arabica,Allotetraploid
4A,Robusta_11,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/4A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/4A.R2.fq.gz,,Robusta 11,C. robusta,Diploid
50A,K7,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/50A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/50A.R2.fq.gz,,K7,C. arabica,Allotetraploid
51A,K7,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/51A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/51A_merged.R2.fq.gz,,K7,C. arabica,Allotetraploid
52A,Wild,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/52A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/52A_merged.R2.fq.gz,,Wild,Coffea (wild),Unknown
53A,Wild,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/53A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/53A.R2.fq.gz,,Wild,Coffea (wild),Unknown
54A,Wild,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/54A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/54A.R2.fq.gz,,Wild,Coffea (wild),Unknown
55A,Robusta_sin_23,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/55A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/55A_merged.R2.fq.gz,,Robusta sin 23,C. robusta,Diploid
56A,Bourbon_T2,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/56A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/56A_merged.R2.fq.gz,,Bourbon-T2,C. arabica,Allotetraploid
57A,Bourbon_T2,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/57A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/57A_merged.R2.fq.gz,,Bourbon-T2,C. arabica,Allotetraploid
58A,Bourbon_T2,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/58A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/58A_merged.R2.fq.gz,,Bourbon-T2,C. arabica,Allotetraploid
5A,Robusta_11,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/5A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/5A.R2.fq.gz,,Robusta 11,C. robusta,Diploid
6A,Robusta_11,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/6A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/6A.R2.fq.gz,,Robusta 11,C. robusta,Diploid
7A,Mundo_Novo,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/7A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/7A.R2.fq.gz,,Mundo Novo,C. arabica,Allotetraploid
8A,Mundo_Novo,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/8A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/8A.R2.fq.gz,,Mundo Novo,C. arabica,Allotetraploid
9A,Mundo_Novo,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/9A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/9A.R2.fq.gz,,Mundo Novo,C. arabica,Allotetraploid
